City,Measure Display,Period Begin,Period End,Property Type,Region,Region Type,State,State Code,Table Id,Worksheet Filter,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,Sold Above List,Sold Above List Mom,Sold Above List Yoy
Seattle,,10/1/2016,10/31/2016,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.020960676,0.00%,-0.20%,"1,099",-7.50%,5.50%,"1,095",-19.60%,-2.70%,10,1,2,366.8807339,-0.002470815,0.082472134,"570,000",-0.02555774,0.140114011,373.538366,-0.055413923,0.141820333,$565K,-0.90%,17.70%,1,-0.1,-0.1,931,-32.90%,-3.30%,1,30,0.336986301,0.041832116,0.035652968,0.445859873,0.017408694,-0.022920147
Seattle,,10/1/2013,10/31/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.999874779,0.00%,0.80%,991,11.30%,17.30%,"1,877",-7.60%,6.80%,14,0,-6,267.1440122,0.000901461,0.126821834,"425,000",0,0.117024772,268.6363636,-0.003292644,0.115164011,$418K,0.70%,13.70%,1.9,-0.4,-0.2,982,-15.80%,23.40%,1,30,0.352690464,0.017552668,0.00380031,0.336024218,-0.002178029,0.075669188
Seattle,,4/1/2012,4/30/2012,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.984877198,0.40%,1.40%,788,15.20%,14.70%,"2,007",0.20%,-36.70%,30,-10,-15,243.9918607,0.032784898,0.071049966,"389,936",0.00240617,0.083306015,235.0395891,0.084655723,0.062507732,$376K,7.70%,7.40%,2.5,-0.4,-2.1,"1,050",3.70%,-8.10%,1,30,0.262082711,-0.020135072,-0.02880919,0.270304569,0.014456615,0.104365704
Seattle,,1/1/2014,1/31/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.990675033,-0.10%,0.20%,552,-26.20%,4.50%,"1,261",-1.10%,2.80%,35,7,-3,283.014862,0.058229484,0.132059448,"399,950",0.004899497,0.083875339,260.3571429,-0.000356747,0.109805195,$409K,0.70%,16.70%,2.3,0.6,0,822,122.20%,13.20%,1,30,0.249801745,0.039605666,0.037087808,0.277173913,0.021826319,0.032855731
Seattle,,5/1/2014,5/31/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.014331649,0.00%,0.20%,"1,046",7.90%,-6.40%,"1,497",12.10%,-9.80%,8,-2,0,284.0909091,0.003916586,0.082663781,"440,000",-0.008997849,0.074546676,281.3186813,-0.008519128,0.074125874,$440K,5.80%,8.90%,1.4,0,-0.1,"1,416",15.10%,-1.10%,1,30,0.277221109,0.01000554,0.01260387,0.439770554,-0.013273821,-0.01322855
Seattle,,2/1/2013,2/28/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.000002642,1.20%,2.90%,566,7.20%,10.10%,"1,280",4.30%,-36.20%,26,-12,-42,262.8571429,0.051428571,0.179978362,"399,950",0.083875339,0.178924097,245.5318313,0.046610432,0.207698524,$365K,4.30%,15.80%,2.3,0,-1.6,908,25.10%,15.20%,1,30,0.19296875,-0.019745186,-0.096163852,0.339222615,0.094904433,0.17190744
Seattle,,6/1/2016,6/30/2016,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.044644267,-1.20%,0.70%,"1,435",28.60%,9.60%,"1,049",4.00%,-2.10%,8,0,0,359.399354,-0.003869507,0.128041768,"549,950",0,0.078439063,385.6217192,0.012945155,0.176480272,$575K,1.80%,12.70%,0.7,-0.2,-0.1,"1,387",0.20%,7.10%,1,30,0.267874166,0.018121936,0.046792076,0.536585366,-0.076867549,-0.002757644
Seattle,,1/1/2017,1/31/2017,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.018664187,0.50%,0.40%,639,-30.50%,21.00%,577,3.40%,-24.50%,16,3,4,404.6277443,0.064305204,0.112880864,"599,999",0.091349765,0.092894353,380.9126984,0.006374368,0.10026908,$573K,-1.20%,9.70%,0.9,0.3,-0.5,729,79.60%,-5.60%,1,30,0.175043328,0.019129349,0.003577359,0.392801252,0.019569478,-0.042804809
Seattle,,3/1/2014,3/31/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.007274762,0.40%,0.50%,835,32.50%,1.80%,"1,266",1.90%,-1.80%,13,-5,0,291.09307,0.048205838,0.108760469,"419,950",-0.01176609,0.052506266,277.7777778,0.037037037,0.089789149,$409K,-0.20%,3.60%,1.5,-0.5,-0.1,"1,091",29.70%,-0.80%,1,30,0.262243286,0.024914243,0.017092006,0.404790419,0.073044387,0.041375785
Seattle,,12/1/2013,12/31/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.991482454,-0.20%,0.50%,748,-2.70%,6.90%,"1,275",-16.50%,-1.80%,28,11,-3,267.4418605,0.001090101,0.192841979,"398,000",0.020709111,0.206181224,260.4500575,-0.003993187,0.171779087,$406K,0.10%,11.40%,1.7,-0.3,-0.2,370,-38.30%,6.00%,1,30,0.210196078,-0.084499403,0.068548657,0.255347594,-0.026837062,-0.011795264
Seattle,,6/1/2013,6/30/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.013948473,0.20%,2.10%,"1,016",-9.00%,8.90%,"1,823",9.90%,-10.10%,9,1,-8,264.1845473,0.006801104,0.091626392,"415,000",0.013492887,0.040100251,263.8461538,0.007412587,0.099622294,$411K,1.60%,8.60%,1.8,0.3,-0.4,"1,387",-3.10%,35.70%,1,30,0.272078991,0.007461751,-0.007151399,0.431102362,-0.021896743,0.127779747
Seattle,,12/1/2012,12/31/2012,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.986057385,-0.40%,1.50%,700,-8.60%,12.40%,"1,299",-13.90%,-40.40%,31,7,-24,224.2056075,-0.04787447,0.112404745,"329,967",-0.108197297,0.137817241,222.2689076,-0.047287933,0.094971306,$364K,-5.50%,13.70%,1.9,-0.1,-1.6,349,-37.90%,-10.70%,1,30,0.141647421,-0.105036929,-0.062022304,0.267142857,-0.008314062,0.095393258
Seattle,,12/1/2015,12/31/2015,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.01338776,-0.60%,1.80%,895,18.90%,8.40%,663,-21.90%,-34.00%,12,2,-11,348.5745532,0.041075999,0.215625333,"500,000",-0.038369074,0.165501166,324.1455347,-0.041323227,0.163287411,$525K,3.00%,20.00%,0.7,-0.4,-0.5,396,-35.60%,4.50%,1,30,0.134238311,-0.104866519,-0.06178159,0.416759777,-0.004222959,0.112885685
Seattle,,6/1/2017,6/30/2017,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.07261851,-0.60%,2.80%,"1,300",6.60%,-9.40%,832,8.20%,-20.70%,7,0,-1,404.3473913,-0.008799431,0.125064324,"649,000",0,0.180107282,427.9755996,-5.70E-05,0.109832715,$675K,6.30%,17.40%,0.6,0,-0.1,"1,401",-2.10%,1.00%,1,30,0.254807692,0.058448785,-0.013066474,0.651270208,-0.02879542,0.114684842
Seattle,,4/1/2013,4/30/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.007890898,0.50%,2.30%,952,16.10%,20.80%,"1,387",7.60%,-30.90%,9,-4,-21,262.0297463,-0.001940429,0.073928227,"400,000",0.002506266,0.025809364,261.6550117,0.026535653,0.113238041,$389K,-1.50%,3.50%,1.5,-0.1,-1,"1,226",11.50%,16.80%,1,30,0.241528479,-0.003622801,-0.020554232,0.409663866,0.046249231,0.139359297
Seattle,,5/1/2016,5/31/2016,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.056457882,0.00%,1.90%,"1,116",7.60%,-2.50%,"1,009",-2.80%,-7.80%,8,0,1,360.7954545,-0.007191995,0.113998476,"549,950",0,0.111010101,380.6935818,0.020808172,0.170185641,$565K,2.70%,16.30%,0.9,-0.1,-0.1,"1,384",2.20%,-0.70%,1,30,0.24975223,0.084048954,0.052311645,0.613452915,0.018675352,0.051880862
Seattle,,7/1/2015,7/31/2015,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.032942472,-0.50%,2.40%,"1,318",0.70%,23.80%,"1,076",0.40%,-39.00%,8,0,-1,323.1481481,0.014260611,0.131495082,"475,000",-0.068536131,0.082004556,336.3062133,0.026025261,0.163223843,$505K,-1.00%,12.20%,0.8,0,-0.9,"1,205",-6.90%,-3.00%,1,30,0.231412639,0.01033055,-0.046207757,0.486342944,-0.053000066,0.086342944
Seattle,,6/1/2014,6/30/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.014530422,0.00%,0.10%,"1,082",3.40%,6.50%,"1,600",6.90%,-12.20%,8,0,-1,293.276115,0.032331925,0.110118355,"465,000",0.056818182,0.120481928,291.8613707,0.037475966,0.106180122,$449K,2.20%,9.50%,1.5,0.1,-0.3,"1,286",-9.20%,-7.30%,1,30,0.305625,0.028403891,0.033546009,0.431608133,-0.008162421,0.000505771
Seattle,,12/1/2016,12/31/2016,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.013419915,-0.20%,0.00%,919,-11.90%,2.70%,558,-29.80%,-15.80%,13,2,1,380.1801802,-0.017711321,0.090671068,"549,777",-0.043857773,0.099554,378.5,0.015487805,0.167685374,$580K,2.70%,10.50%,0.6,-0.2,-0.1,406,-35.60%,2.50%,1,30,0.155913978,-0.142199229,0.021675668,0.373231774,-0.031370336,-0.043528003
Seattle,,3/1/2012,3/31/2012,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.981019157,1.00%,1.40%,684,33.10%,-2.40%,"2,002",-0.20%,-34.10%,40,-28,-27,236.2465418,0.060522094,0.022826518,"389,000",0.146647015,0.11158737,216.6951081,0.065859204,-0.003345296,$349K,10.80%,-0.30%,2.9,-1,-1.4,"1,013",28.60%,-6.40%,1,30,0.282217782,-0.00691482,-0.040033699,0.255847953,0.088532778,0.130313003
Seattle,,3/1/2013,3/31/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.002501349,0.20%,2.10%,820,44.90%,19.90%,"1,289",0.70%,-35.60%,13,-13,-27,262.539185,-0.001209622,0.11129324,"399,000",-0.002375297,0.025706941,254.8913043,0.038119184,0.176266998,$395K,8.20%,13.20%,1.6,-0.7,-1.3,"1,100",21.10%,8.60%,1,30,0.24515128,0.05218253,-0.037066502,0.363414634,0.024192019,0.107566681
Seattle,,11/1/2016,11/30/2016,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.015885218,-0.50%,-0.40%,"1,043",-5.10%,38.50%,795,-27.40%,-6.40%,11,1,1,387.0350829,0.054934335,0.155944781,"574,995",0.008763158,0.105865949,372.7272727,-0.002171379,0.102359714,$565K,0.00%,10.80%,0.8,-0.2,-0.3,630,-32.30%,2.40%,1,30,0.298113208,-0.038873094,0.059008378,0.404602109,-0.041257763,-0.016380626
Seattle,,2/1/2012,2/29/2012,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.971306165,0.20%,0.90%,514,13.20%,17.90%,"2,006",-4.60%,-32.90%,68,9,-11,222.7643754,0.012114311,-0.046073441,"339,250",0.000737463,-0.01638156,203.3055654,-0.004797932,-0.11562079,$315K,5.00%,-7.40%,3.9,-0.7,-3,788,20.30%,-11.20%,1,30,0.289132602,0.002738692,0.019232937,0.167315175,0.00431958,0.038874808
Seattle,,9/1/2016,9/30/2016,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.020811898,-0.70%,-0.40%,"1,188",-9.90%,16.00%,"1,362",15.70%,13.60%,9,0,1,367.7894737,0.008793985,0.114831075,"584,950",0.093364486,0.135825243,395.4519076,0.029675279,0.193065619,$570K,-1.70%,16.50%,1.1,0.2,-0.1,"1,387",13.10%,15.80%,1,30,0.295154185,0.007983412,0.024094969,0.428451178,-0.028301477,-0.040298822
Seattle,,9/1/2017,9/30/2017,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.041893665,-1.00%,2.10%,"1,030",-17.40%,-13.30%,"1,031",22.40%,-24.30%,8,0,-1,426.5036869,0.027638805,0.15964082,"650,000",0.04,0.111206086,428.8180194,0.001073425,0.084374639,$663K,-0.50%,16.20%,1,0.3,-0.1,"1,301",12.30%,-6.20%,1,30,0.258971872,-0.030814351,-0.036182313,0.556420233,-0.024769477,0.127969055
Seattle,,5/1/2013,5/31/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.012068013,0.40%,2.10%,"1,117",17.30%,23.30%,"1,659",19.60%,-17.60%,8,-1,-11,262.399938,0.001412785,0.09378882,"409,475",0.0236875,0.063571429,261.9047619,0.000954502,0.121979164,$404K,3.90%,7.70%,1.5,0,-0.7,"1,432",16.80%,31.30%,1,30,0.264617239,0.023088761,0.005431539,0.452999105,0.043335239,0.160504624
Seattle,,7/1/2014,7/31/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.008746499,-0.60%,-0.40%,"1,065",-1.60%,-7.10%,"1,765",10.30%,-6.40%,9,1,0,285.5939486,-0.026194313,0.103829372,"439,000",-0.055913978,0.100250627,289.1156463,-0.009407632,0.102749797,$450K,0.10%,5.90%,1.7,0.2,0.1,"1,242",-3.40%,0.20%,1,30,0.277620397,-0.028004603,-0.01787032,0.4,-0.031608133,-0.02408377
Seattle,,1/1/2018,1/31/2018,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.025724522,0.00%,0.70%,551,-36.90%,-13.80%,478,24.80%,-17.20%,12,1,-4,446.6036601,0.023753005,0.103739589,"650,000",0,0.083335139,435.3233831,-0.001118439,0.142842927,$700K,5.50%,22.20%,0.9,0.5,0,754,110.00%,3.40%,1,30,0.125523013,-0.033745917,-0.049520315,0.425454545,-0.020397989,0.032653293
Seattle,,2/1/2014,2/28/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.003360226,1.30%,0.30%,630,14.10%,11.30%,"1,243",-1.40%,-2.90%,18,-17,-8,277.7060185,-0.018758179,0.056490288,"424,950",0.062507813,0.062507813,267.8571429,0.028806584,0.090926343,$410K,0.40%,12.40%,2,-0.3,-0.3,841,2.30%,-7.40%,1,30,0.237329043,-0.012472702,0.044360293,0.331746032,0.054572119,-0.007476583
Seattle,,6/1/2015,6/30/2015,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.037897368,0.10%,2.30%,"1,309",14.30%,21.00%,"1,072",-2.00%,-33.00%,8,1,0,318.6046512,-0.0162706,0.086364129,"509,950",0.03020202,0.096666667,327.7757634,0.007525501,0.123052916,$510K,4.90%,13.50%,0.8,-0.2,-0.7,"1,295",-7.10%,0.70%,1,30,0.22108209,0.023641505,-0.08454291,0.53934301,-0.022229042,0.107734877
Seattle,,11/1/2013,11/30/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.993743008,-0.60%,0.40%,769,-22.40%,0.40%,"1,527",-18.60%,1.30%,17,3,-7,267.1506392,2.48E-05,0.134498582,"389,925",-0.082529412,0.053851351,261.4942529,-0.026586538,0.120843815,$405K,-3.10%,5.10%,2,0.1,0,600,-38.90%,6.80%,1,30,0.294695481,-0.057994982,0.048011131,0.282184655,-0.053839563,0.006727736
Seattle,,1/1/2013,1/31/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,0.988466263,0.20%,1.90%,528,-24.60%,16.30%,"1,227",-5.50%,-41.60%,38,7,-21,250,0.115047937,0.135857461,"369,000",0.118293648,0.088495575,234.5971564,0.055465467,0.148377689,$350K,-3.80%,16.70%,2.3,0.4,-2.3,726,108.00%,10.80%,1,30,0.212713936,0.071066515,-0.073679974,0.244318182,-0.022824675,0.081322587
Seattle,,7/1/2013,7/31/2013,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.012704908,-0.10%,2.10%,"1,146",12.80%,36.40%,"1,885",3.40%,-5.90%,9,0,-12,258.7301587,-0.02064613,0.12518738,"399,000",-0.038554217,0.064,262.1770115,-0.006326196,0.139206662,$425K,3.50%,14.90%,1.6,-0.2,-0.8,"1,239",-10.70%,34.70%,1,30,0.295490716,0.023411726,0.02902365,0.42408377,-0.007018593,0.127655198
Seattle,,12/1/2017,12/31/2017,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.025235827,-0.30%,1.20%,873,-12.80%,-5.00%,383,-40.20%,-31.40%,11,2,-2,436.2416107,0.003427378,0.147460161,"650,000",0.004636785,0.18229755,435.8108108,0.009943481,0.151415616,$663K,-1.40%,14.40%,0.4,-0.2,-0.2,359,-49.20%,-11.60%,1,30,0.15926893,-0.15166857,0.003354951,0.445852535,-0.055645967,0.072620761
Seattle,,2/1/2016,2/29/2016,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.03445509,2.00%,2.80%,688,30.30%,8.50%,800,4.70%,-17.40%,7,-5,-7,372.2693032,0.02388279,0.245670361,"549,400",0.000728597,0.181505376,384.9001303,0.111786806,0.274848905,$503K,-3.70%,17.00%,1.2,-0.2,-0.3,910,17.90%,5.00%,1,30,0.1575,-0.013965969,-0.04911157,0.539244186,0.103638125,0.193818319
Seattle,,11/1/2015,11/30/2015,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.01952626,-0.30%,2.30%,753,-27.70%,-5.40%,849,-24.50%,-33.70%,10,2,-10,334.8214286,-0.012118019,0.175033693,"519,950",0.040004,0.155572841,338.1176471,0.033547393,0.190860847,$510K,6.20%,17.20%,1.1,0,-0.5,615,-36.10%,3.70%,1,30,0.239104829,-0.062228504,-0.037457671,0.420982736,-0.047797283,0.142995314
Seattle,,4/1/2017,4/30/2017,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.071290895,1.30%,1.50%,931,-4.00%,-10.20%,697,8.10%,-32.90%,7,-1,-1,403.1117397,0.009462092,0.109250566,"599,950",-0.016394786,0.090917356,425.8474576,0.012871709,0.14188572,$640K,1.60%,16.40%,0.7,0,-0.3,"1,150",-5.70%,-15.10%,1,30,0.142037303,-0.02385417,-0.023665973,0.651612903,0.042737774,0.05683534
Seattle,,9/1/2014,9/30/2014,All Residential,"Seattle, WA",place,Washington,WA,16163,Value,1.001216385,-0.40%,0.10%,930,-8.00%,4.50%,"1,743",4.50%,-14.20%,14,1,0,294.1859287,0.017161883,0.1022187,"459,900",0.082117647,0.082117647,295.9524947,0.040933902,0.098056959,$444K,5.60%,6.90%,1.9,0.3,-0.4,"1,184",17.70%,1.50%,1,30,0.330464716,0.046292054,-0.004673079,0.31827957,-0.029890559,-0.019922677
